kind,regime_tag,activation,fill,mean_lost_rate,mean_truck_km,mean_actions,profit_service_mean,profit_service_std,profit_moderate_cost_mean,profit_moderate_cost_std,profit_cost_mean,profit_cost_std
static_baseline,,n/a,n/a,13.4878,0.0000,0.00,82.1150,54.0059,147.0750,37.4950,165.6350,35.1001
lost_demand,,elu,0_50_100,22.7375,51.4420,394.78,-24.8110,86.0677,-0.0540,78.7581,-125.2600,151.4392
lost_demand,,elu,10_50_90,6.5997,57.2210,382.68,118.8570,44.5320,66.2055,62.6115,-95.9775,155.0463
lost_demand,,elu,15_50_85,2.6129,65.8474,357.02,158.7263,42.4019,73.1151,61.4972,-120.6672,140.1866
lost_demand,,leaky_relu,0_50_100,23.4115,45.6648,401.02,-26.7099,88.8736,8.2530,78.0499,-99.1813,151.3831
lost_demand,,leaky_relu,10_50_90,7.0807,56.1487,384.50,115.6432,42.6793,66.4201,55.1616,-92.0259,134.7035
lost_demand,,leaky_relu,15_50_85,5.2513,51.3751,388.06,138.7925,53.0260,87.6299,51.9527,-59.0954,134.9886
lost_demand,,none,0_50_100,21.6854,50.1919,390.84,-14.1035,66.5532,8.3286,72.4699,-114.3272,130.6880
lost_demand,,none,10_50_90,7.7749,42.1286,410.28,115.1532,47.8360,90.6003,45.1242,-24.7456,118.0230
lost_demand,,none,15_50_85,2.8140,65.9491,356.40,154.5805,38.7865,70.6368,56.1551,-122.9305,130.0960
lost_demand,,prelu,0_50_100,23.9253,48.4969,392.84,-33.5335,74.5364,0.1212,70.5281,-114.9696,137.2903
lost_demand,,prelu,10_50_90,7.7223,45.2225,404.16,115.7862,51.7263,86.0325,56.9483,-38.7551,139.2119
lost_demand,,prelu,15_50_85,4.2961,54.2592,382.82,145.9679,45.0417,86.4191,54.1202,-70.1184,143.3321
profit,default_train,elu,0_50_100,19.7125,49.1773,392.64,2.8338,66.9582,18.6678,67.6446,-103.2642,133.1856
profit,default_train,elu,10_50_90,7.9923,47.1490,396.94,109.9530,49.2601,79.2694,56.7700,-50.7377,127.9341
profit,default_train,elu,15_50_85,2.9672,49.5702,397.38,164.0299,49.6157,104.0947,52.6374,-40.4959,114.0651
profit,default_train,leaky_relu,0_50_100,20.3415,41.2528,416.30,-0.5889,63.9948,30.7718,60.7671,-66.3467,113.6677
profit,default_train,leaky_relu,10_50_90,6.8566,45.7691,397.28,122.8429,44.1216,88.9092,53.8070,-38.4782,111.2703
profit,default_train,leaky_relu,15_50_85,4.5167,50.8257,387.56,146.6821,54.1883,92.7036,50.0577,-53.4136,110.7271
profit,default_train,none,0_50_100,19.4029,49.6814,393.82,5.3918,68.6789,19.6296,71.8477,-104.0546,144.3556
profit,default_train,none,10_50_90,6.1787,49.0834,393.02,128.7108,46.4773,85.7457,50.8277,-52.7445,117.5524
profit,default_train,none,15_50_85,3.9336,49.8440,396.04,151.4955,44.3151,96.8895,54.1803,-46.8826,119.1087
profit,default_train,prelu,0_50_100,19.0089,51.7487,389.64,5.2757,55.7659,16.1326,62.8225,-113.8334,125.5296
profit,default_train,prelu,10_50_90,6.6797,49.0470,397.42,124.6340,52.2352,83.5434,50.8361,-54.3177,122.6140
profit,default_train,prelu,15_50_85,4.3204,46.6006,398.18,149.7372,46.4016,101.3963,44.6802,-32.2455,116.6634
profit_regime,cost,leaky_relu,10_50_90,10.7232,8.9049,462.88,102.9900,55.8495,141.5727,41.9891,129.6979,60.0232
profit_regime,moderate_cost,leaky_relu,10_50_90,6.7592,52.3296,392.54,122.0502,52.0293,76.7358,56.7587,-70.7731,129.9951
profit_regime,service,leaky_relu,10_50_90,6.4887,50.9130,386.42,124.8185,40.0877,80.5089,52.9802,-63.0702,134.6658
